,title,hours,videos,exercises,participants,xp,clean,descriptions,tracks,instructors,datasets,prereqs,link,topic,tech
10,Analyzing Election and Polling Data in R,4,15,55,"3,189","4,650",Analyzing Election and Polling Data in R,"Analyzing Election and Polling Data in R
This is an introductory course to the R programming language as applied in the context of political data analysis. In this course students learn how to wrangle, visualize, and model data with R by applying data science techniques to real-world political data such as public opinion polling and election results. The tools that you'll use in this course, from the dplyr, ggplot2, and choroplethr packages, among others, are staples of data science and can be used to analyze almost any dataset you get your hands on. Students will learn how to mutate columns and filter datasets, graph points and lines on charts, make maps, and create models to understand relationships between variables and predict the future. This course is suitable for anyone who already has downloaded R and knows the basics, like how to install packages.
Chapter one uses a dataset of job approval polling for US presidents since Harry Truman to introduce you to data wrangling and visualization in the tidyverse.
In this chapter, you will embark on a historical analysis of ""generic ballot"" US House polling and use data visualization and modeling to answer two big questions: Has the country changed over time? Can polls predict elections?
This chapter teaches you how to make maps and understand linear regression in R. With election results from the United States and the United Kingdom, you'll also learn how to use regression models to analyze the relationship between two (or more!) variables.
In this ensemble of applied statistics and data analysis, you will wrangle, visualize, and model polling and prediction data for two sets of very important US elections: the 2018 House midterms and 2020 presidential election.",[],"['G Elliott Morris', 'Chester Ismay', 'David Campos', 'Shon Inouye']","[('Brexit Polls', 'https://assets.datacamp.com/production/course_6778/datasets/brexit_polls.csv'), ('Brexit Results', 'https://assets.datacamp.com/production/course_6778/datasets/brexit_results.csv'), ('Gallup Approval Polls', 'https://assets.datacamp.com/production/course_6778/datasets/gallup_approval_polls.csv'), ('Generic Ballot', 'https://assets.datacamp.com/production/course_6778/datasets/generic_ballot.csv'), ('US Pres 2016 by County', 'https://assets.datacamp.com/production/course_6778/datasets/us_pres_2016_by_county.csv')]",['Introduction to the Tidyverse'],https://www.datacamp.com/courses/analyzing-election-and-polling-data-in-r,Case Studies,R
11,Analyzing IoT Data in Python,4,16,53,843,"4,250",Analyzing IoT Data,"Analyzing IoT Data in Python
Have you ever heard about Internet of Things devices? Of course, you have. Maybe you also have a Raspberry PI in your house monitoring the temperature and humidity.
  IoT devices are everywhere around us, collecting data about our environment.
  You will be analyzing Environmental data, Traffic data as well as energy counter data.
  Following the course, you will learn how to collect and store data from a data stream.
  You will prepare IoT data for analysis, analyze and visualize IoT data, before  implementing
  a simple machine learning model to take action when certain events occur and deploy this model
  to a real-time data stream.
In this chapter, you will first understand what IoT data is.
Then, you learn how to aquire IoT data through a REST API and using an MQTT data stream to collect data in real time.
In the second chapter, you will look at the  data  you gathered during the first chapter.  You will visualize the data and learn the importance of timestamps when dealing with data streams. You will also implement caching to an MQTT data stream.
In this chapter, you will combine multiple datasoures with different time intervals.
You will then analyze the data to detect correlations, outliers and trends.
In this final chapter, you will use the data you analyzed during the previous chapters to build a machine learning pipeline. You will then learn how to implement this pipeline into a data stream to make realtime predictions.",[],"['Matthias Voppichler', 'Hadrien Lacroix', 'Hillary Green-Lerman']","[('Environment', 'https://assets.datacamp.com/production/repositories/4296/datasets/b7afe8572732cb5c8e6687c7e0c51216983a2b12/environ_MS83200MS_nowind_3m-10min.json'), ('Traffic (heavy vehicles)', 'https://assets.datacamp.com/production/repositories/4296/datasets/2ab899af51dac636796c5b3fce2f27f69010a6d6/traffic_raw_siemens_heavy-veh.json'), ('Traffic (light vehicles)', 'https://assets.datacamp.com/production/repositories/4296/datasets/d4eae90c370fa6912c035323737c9fc276792514/traffic_raw_siemens_light-veh.json')]",['pandas Foundations'],https://www.datacamp.com/courses/analyzing-iot-data-in-python,Data Manipulation,Python
12,Analyzing Marketing Campaigns with pandas,4,14,53,"1,878","4,500",Analyzing Marketing Campaigns pandas,"Analyzing Marketing Campaigns with pandas
One of the biggest challenges when studying data science technical skills is understanding how those skills and concepts translate into real jobs. Whether you're looking to level up in your marketing job by incorporating Python and pandas or you're trying to get a handle on what kinds of work a data scientist in a marketing organization might do, this course is a great match for you. We'll practice translating common business questions into measurable outcomes, including ""How did this campaign perform?"", ""Which channel is referring the most subscribers?"", ""Why is a particular channel underperforming?"" and more using a fake marketing dataset based on the data of an online subscription business. This course will build on Python and pandas fundamentals, such as merging/slicing datasets, groupby(), correcting data types and visualizing results using matplotlib.
In this chapter, you will review pandas basics including importing datasets, exploratory analysis, and basic plotting.
In this chapter, you will learn about common marketing metrics and how to calculate them using pandas. You will also visualize your results and practice user segmentation.
In this chapter, you will build functions to automate common marketing analysis and determine why certain marketing channels saw lower than usual conversion rates during late January.
In this chapter, you will analyze an A/B test and learn about the importance of segmentation when interpreting the results of a test.",[],"['Jill Rosok', 'Mona Khalil', 'Sumedh Panchadhar']","[('Marketing dataset 1', 'https://assets.datacamp.com/production/repositories/3879/datasets/bdbbd97f839ef5cafebcc15363201d0e7b08881a/marketing.csv'), ('Marketing dataset 2', 'https://assets.datacamp.com/production/repositories/3879/datasets/6d86195bbc39785128d437e26a14ffb7cf68f9dc/marketing_new.csv')]","['Intermediate Python for Data Science', 'pandas Foundations']",https://www.datacamp.com/courses/analyzing-marketing-campaigns-with-pandas,Case Studies,Python
13,Analyzing Police Activity with pandas,4,16,50,"11,246","4,100",Analyzing Police Activity pandas,"Analyzing Police Activity with pandas
Now that you have learned the foundations of pandas, this course will give you the chance to apply that knowledge by answering interesting questions about a real dataset! You will explore the Stanford Open Policing Project dataset and analyze the impact of gender on police behavior. During the course, you will gain more practice cleaning messy data, creating visualizations, combining and reshaping datasets, and manipulating time series data. Analyzing Police Activity with pandas will give you valuable experience analyzing a dataset from start to finish, preparing you for your data science career!
Before beginning your analysis, it is critical that you first examine and clean the dataset, to make working with it a more efficient process. In this chapter, you will practice fixing data types, handling missing values, and dropping columns and rows while learning about the Stanford Open Policing Project dataset.
Does the gender of a driver have an impact on police behavior during a traffic stop? In this chapter, you will explore that question while practicing filtering, grouping, method chaining, Boolean math, string methods, and more!
Are you more likely to get arrested at a certain time of day? Are drug-related stops on the rise? In this chapter, you will answer these and other questions by analyzing the dataset visually, since plots can help you to understand trends in a way that examining the raw data cannot.
In this chapter, you will use a second dataset to explore the impact of weather conditions on police behavior during traffic stops. You will practice merging and reshaping datasets, assessing whether a data source is trustworthy, working with categorical data, and other advanced skills.","['Data Analyst with Python', 'Data Manipulation with Python', 'Data Scientist with Python']","['Kevin Markham', 'Becca Robins', 'Sara Snell']","[('Traffic stops in Rhode Island', 'https://assets.datacamp.com/production/repositories/1497/datasets/62bd9feef451860db02d26553613a299721882e8/police.csv'), ('Weather in Providence, Rhode Island', 'https://assets.datacamp.com/production/repositories/1497/datasets/02f3fb2d4416d3f6626e1117688e0386784e8e55/weather.csv')]","['pandas Foundations', 'Manipulating DataFrames with pandas', 'Merging DataFrames with pandas']",https://www.datacamp.com/courses/analyzing-police-activity-with-pandas,Data Manipulation,Python
14,Analyzing Social Media Data in Python,4,14,51,"5,121","4,000",Analyzing Social Media Data,"Analyzing Social Media Data in Python
Twitter produces hundreds of million messages per day, with people around the world discussing sports, politics, business, and entertainment. You can access thousands of messages flowing in this stream in a matter of minutes. In this course, you will learn how to collect Twitter data and analyze tweet text, Twitter networks, and the geographical origin of the tweet. We'll be doing this with datasets on tech companies, data science hashtags, and the 2018 State of the Union address. Using these methods, you will be able to inform business and political decision-making by discovering the prevalence of important topics, the diversity of discussion networks, and a topic's geographical reach.
Why analyze Twitter, how to access Twitter APIs, and understanding Twitter JSON.
How to process Twitter text.
Network analysis with Twitter data.
How to map Twitter data.",[],"['Alex Hanna', 'Greg Wilson', 'Kara Woo', 'David Campos', 'Shon Inouye', 'Eunkyung Park']","[('Data Science Hashtag dataset', 'https://assets.datacamp.com/production/repositories/2161/datasets/43d85d27d293323c1a4effec25717d0c2eb43169/data-science-hashtags.csv'), ('State of the Union Reply Network dataset', 'https://assets.datacamp.com/production/repositories/2161/datasets/55860c218310485e9400997ae33aecd0e97f8b51/sotu2018-reply.csv'), ('State of the Union Retweet Networking dataset', 'https://assets.datacamp.com/production/repositories/2161/datasets/51e79668580cdb86969c2c625172eaed2ded684a/sotu2018-rt.csv')]",['pandas Foundations'],https://www.datacamp.com/courses/analyzing-social-media-data-in-python,Data Manipulation,Python
15,Analyzing Survey Data in R,4,14,49,"3,211","3,950",Analyzing Survey Data in R,"Analyzing Survey Data in R
You've taken a survey (or 1000) before, right? Have you ever wondered what goes into designing a survey and how survey responses are turned into actionable insights? Of course you have! In Analyzing Survey Data in R, you will work with surveys from A to Z, starting with common survey design structures, such as clustering and stratification, and will continue through to visualizing and analyzing survey results. You will model survey data from the National Health and Nutrition Examination Survey using R's survey and tidyverse packages. Following the course, you will be able to successfully interpret survey results and finally find the answers to life's burning questions!
Our exploration of survey data will begin with survey weights.  In this chapter, we will learn what survey weights are and why they are so important in survey data analysis.  Another unique feature of survey data are how they were collected via clustering and stratification.  We'll practice specifying and exploring these sampling features for several survey datasets.
Now that we have a handle of survey weights, we will practice incorporating those weights into our analysis of categorical data in this chapter.  We'll conduct descriptive inference by calculating summary statistics, building summary tables, and constructing bar graphs.  For analytic inference, we will learn to run chi-squared tests.
Of course not all survey data are categorical and so in this chapter, we will explore analyzing quantitative survey data.  We will learn to compute survey-weighted statistics, such as the mean and quantiles. For data visualization, we'll construct bar-graphs, histograms and density plots.  We will close out the chapter by conducting analytic inference with survey-weighted t-tests.
To model survey data also requires careful consideration of how the data were collected.  We will start our modeling chapter by learning how to incorporate survey weights into scatter plots through aesthetics such as size, color, and transparency.  We'll model the survey data with linear regression and will explore how to incorporate categorical predictors and polynomial terms into our models.",[],"['Kelly McConville', 'Chester Ismay', 'Becca Robins', 'Eunkyung Park']","[('Quarter 4 of the 2016 BLS Consumer Expenditure Survey', 'https://assets.datacamp.com/production/repositories/1932/datasets/54e81635756ae4b5a0207b661586c108e6dc5566/ce.csv')]","['Introduction to the Tidyverse', 'Foundations of Inference']",https://www.datacamp.com/courses/analyzing-survey-data-in-r,Probability & Statistics,R
16,Analyzing US Census Data in Python,5,16,57,"1,179","4,850",Analyzing US Census Data,"Analyzing US Census Data in Python
Data scientists in diverse fields, from marketing to public health to civic hacking, need to work with demographic and socioeconomic data. Government census agencies offer richly detailed, high-quality datasets, but the number of variables and intricacies of administrative geographies (what is a Census tract anyway?) can make approaching this goldmine a daunting process. This course will introduce you to the Decennial Census and the annual American Community Survey, and show you where to find data on household income, commuting, race, family structure, and other topics that may interest you. You will use Python to request this data using the Census API for large and small geographies. You will manipulate the data using pandas, and create derived data such as a measure of segregation. You will also get a taste of the mapping capabilities of geopandas.
Start exploring Census data products with the Decennial Census. Use the Census API and the requests package to retrieve data, load into pandas data frames, and conduct exploratory visualization in seaborn. Learn about important Census geographies, including states, counties, and tracts.
Explore topics such as health insurance coverage and gentrification using the American Community Survey. Calculate Margins of Error and explore change over time. Create choropleth maps using geopandas.
Explore racial segregation in America. Calculate the Index of Dissimilarity, and important measure of segregation. Learn about and use Metropolitan Statistical Areas, and important geography for urban research. Study segregation changes over time in Chicago.
In this chapter, you will apply what you have learned to four topical studies. Explore unemployment by race and ethnicity; commuting patterns and worker density; immigration and state-to-state population flows; and rent burden in San Francisco.",[],"['Lee Hachadoorian', 'Mari Nazary', 'Adrián Soto']","[('Hispanic Origin & Race by State, 2010', 'https://assets.datacamp.com/production/repositories/2155/datasets/68d8a7bcd8383e4e631d561d6ddc9cf61aa74d6b/states.csv'), ('Household Internet Access by State, 2017', 'https://assets.datacamp.com/production/repositories/2155/datasets/3be5b05dd02bff25b4f5efdb22d1aa1777fe799e/states_internet.gpkg'), ('Brooklyn Tract Demographics, 2000', 'https://assets.datacamp.com/production/repositories/2155/datasets/75a53f4cafd31c368d147e0b64755d74d18cff66/tracts_brooklyn_2000.pickle'), ('Brooklyn Tract Geometries, 2000', 'https://assets.datacamp.com/production/repositories/2155/datasets/5246046c1acde7183c46fe07925437d1d6c43382/brooklyn_tract_2000.gpkg'), ('Brooklyn Tract Demographics, 2010', 'https://assets.datacamp.com/production/repositories/2155/datasets/75c9d53f047b5e8e69307d22a2b3f0069760c7da/tracts_brooklyn_2010.pickle'), ('Brooklyn Tract Geometries, 2010', 'https://assets.datacamp.com/production/repositories/2155/datasets/cafe61e927146e7c0e655bdacc1647243b62dc84/brooklyn_tract_2010.gpkg')]","['Intermediate Python for Data Science', 'pandas Foundations']",https://www.datacamp.com/courses/analyzing-us-census-data-in-python,Case Studies,Python
17,Analyzing US Census Data in R,4,17,59,"1,722","5,050",Analyzing US Census Data in R,"Analyzing US Census Data in R
Analysts across industries rely on data from the United States Census Bureau in their work. In this course, students will learn how to work with Census tabular and spatial data in the R environment. The course focuses on the tidycensus package for acquiring data from the decennial US Census and American Community survey in a tidyverse-friendly format, and the tigris package for accessing Census geographic data within R. By the end of this course, students will be able to rapidly visualize and explore demographic data from the Census Bureau using ggplot2 and other tidyverse tools, and make maps of Census demographic data with only a few lines of R code.
In this chapter, students will learn the basics of working with Census data in R with tidycensus.  They will acquire data using tidycensus functions, search for data, and make a basic plot.
In this chapter, students learn how to use tidyverse tools to wrangle data from the US Census and American Community Survey.  They also learn about handling margins of error in the ACS.
In this chapter, students will learn how to work with US Census Bureau geographic data in R using the tigris R package.
In this chapter, you will learn how to obtain feature geometry with the tidycensus package, and use ggplot2 and mapview to make customized static and interactive maps of US Census data.",[],"['Kyle Walker', 'Chester Ismay', 'Becca Robins']",[],"['Introduction to the Tidyverse', 'Spatial Analysis in R with sf and raster']",https://www.datacamp.com/courses/analyzing-us-census-data-in-r,Other,R
18,Anomaly Detection in R,4,13,47,"2,926","3,900",Anomaly Detection in R,"Anomaly Detection in R
Are you concerned about inaccurate or suspicious records in your data, but not sure where to start? An anomaly detection algorithm could help! Anomaly detection is a collection of techniques designed to identify unusual data points, and are crucial for detecting fraud and for protecting computer networks from malicious activity. In this course, you'll explore statistical tests for identifying outliers, and learn to use sophisticated anomaly scoring algorithms like the local outlier factor and isolation forest. You'll apply anomaly detection algorithms to identify unusual wines in the UCI Wine quality dataset and also to detect cases of thyroid disease from abnormal hormone measurements.
In this chapter, you'll learn how numerical and graphical summaries can be used to informally assess whether data contain unusual points.  You'll use a statistical procedure called Grubbs' test to check whether a point is an outlier, and learn about the Seasonal-Hybrid ESD algorithm, which can help identify outliers when the data are a time series.
In this chapter, you'll learn how to calculate the  k-nearest neighbors distance and the local outlier factor, which are used to construct continuous anomaly scores for each data point when the data have multiple features.   You'll learn the difference between local and global anomalies and how the two algorithms can help in each case.
k-nearest neighbors distance and local outlier factor use the distance or relative density of the nearest neighbors to score each point.  In this chapter, you'll explore an alternative tree-based approach called an isolation forest, which is a fast and robust method of detecting anomalies that measures how easily points can be separated by randomly splitting the data into smaller and smaller regions.
You've now been introduced to a few different algorithms for anomaly scoring. In this final chapter, you'll learn to compare the detection performance of the algorithms in instances where labeled anomalies are available.  You'll learn to calculate and interpret the precision and recall statistics for an anomaly score, and how to adapt the algorithms so they can accommodate data with categorical features.",[],"['Alastair Rushworth', 'Chester Ismay', 'Amy Peterson']","[('Furniture', 'https://assets.datacamp.com/production/repositories/2385/datasets/8977d3e5d10f1ac243696e86a64e6470f578cf57/furniture.csv'), ('Wine', 'https://assets.datacamp.com/production/repositories/2385/datasets/ee4b58d16708ae7647f7f6278c041623de6e3ad4/big_wine.csv'), ('Thyroid', 'https://assets.datacamp.com/production/repositories/2385/datasets/735c85adc275d9265b6b1bdef11a78020a31e9e3/thyroid.csv')]",['Intermediate R'],https://www.datacamp.com/courses/anomaly-detection-in-r,Probability & Statistics,R
19,Applying SQL to Real-World Problems,4,13,47,102,"3,550",Applying SQL Real-World Problems,"Applying SQL to Real-World Problems
Now that you’ve learned the basic tools of SQL you are ready to synthesize them into practical, real-world skills. In this course, you will work with a database of a fictional movie rental company. The size and complexity of this database will allow you to experience the challenges of working with databases firsthand. Throughout this course, you will use SQL to answer business-driven questions. You will learn new skills that will empower you to find the tables you need. You will then learn how to store and manage this data in tables and views that you create. Best of all you will also learn how to write code that not only clearly conveys your intent but is also legible.
You will review some of the most commonly used SQL commands to ensure you are prepared to tackle both real-world problems as well as every exercise covered in this course.
How do you find the data you need in your database in order to answer real-world business questions?  Here you will learn how to use system tables to explore your database. You will use these tables to create a new tool that contains a list of all tables and columns in your database. Finally, you will create an Entity Relationship Diagram (ERD) which will help you connect multiple tables.
Working with SQL to solve real-world problems will oftentimes require you to do more than retrieve the data you need, oftentimes you will need to manage the data in your database. This includes creating data, updating it and, when necessary, deleting it.
How do you ensure that the SQL scripts you write will be easy to understand for anyone who needs to read them? This chapter will cover approaches you can leverage to ensure that your code clearly conveys your intent, is readable by others and follows best practices.",[],"['Dmitriy Gorenshteyn', 'Chester Ismay', 'Adrián Soto']","[('DVD Rental Database', 'https://assets.datacamp.com/production/repositories/3868/datasets/3509e6592ac9ccc8ed3084649dd1be809d9c55a9/pagilla_fixed_v3.sql')]","['Intro to SQL for Data Science', 'Joining Data in SQL']",https://www.datacamp.com/courses/applying-sql-to-real-world-problems,Data Manipulation,SQL
